FILENUMBER,LATITUDE,LONGITUDE,FCYEAR,GLOBALID
022942003,39.7700936,-104.74899246,2003,{00000000-0000-0000-0000-000000000000}
022962003,39.7463386,-104.99677918,2003,{00000000-0000-0000-0000-000000000000}
022972003,39.6976605,-104.89807044,2003,{00000000-0000-0000-0000-000000000000}
023532003,39.77908654,-104.75620541,2003,{00000000-0000-0000-0000-000000000000}
023552003,39.76639684,-105.04618183,2003,{00000000-0000-0000-0000-000000000000}
023582003,39.76353303,-104.91724755,2003,{00000000-0000-0000-0000-000000000000}
023592003,39.75938196,-104.91086279,2003,{00000000-0000-0000-0000-000000000000}
023602003,39.71992332,-105.02722858,2003,{00000000-0000-0000-0000-000000000000}
023612003,39.76520296,-104.96752125,2003,{00000000-0000-0000-0000-000000000000}
023642003,39.728715,-104.97151563,2003,{00000000-0000-0000-0000-000000000000}
023652003,39.75637837,-104.97472065,2003,{00000000-0000-0000-0000-000000000000}
023662003,39.70879705,-105.02793703,2003,{00000000-0000-0000-0000-000000000000}
023672003,39.78149843,-105.0412569,2003,{00000000-0000-0000-0000-000000000000}
023692003,39.77194783,-104.75062959,2003,{00000000-0000-0000-0000-000000000000}
023712003,39.76617828,-105.01076211,2003,{00000000-0000-0000-0000-000000000000}
023722003,39.68316883,-105.00964879,2003,{00000000-0000-0000-0000-000000000000}
023732003,39.75980273,-104.95824012,2003,{00000000-0000-0000-0000-000000000000}
023742003,39.69362352,-104.91130626,2003,{00000000-0000-0000-0000-000000000000}
023762003,39.794623,-104.82435088,2003,{00000000-0000-0000-0000-000000000000}
023772003,39.67305091,-105.02601462,2003,{00000000-0000-0000-0000-000000000000}
022232003,39.63515955,-105.03562214,2003,{00000000-0000-0000-0000-000000000000}
022242003,39.71384068,-105.03212442,2003,{00000000-0000-0000-0000-000000000000}
022262003,39.73655981,-104.89372549,2003,{00000000-0000-0000-0000-000000000000}
022272003,39.69726526,-104.92649499,2003,{00000000-0000-0000-0000-000000000000}
